

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[0]: Time 111.524520 seconds, bootstrap likelihood -135356.526395, best rearrangement setting 13
Bootstrap[1]: Time 95.944446 seconds, bootstrap likelihood -139959.333501, best rearrangement setting 13
Bootstrap[2]: Time 96.817307 seconds, bootstrap likelihood -136701.348609, best rearrangement setting 12
Bootstrap[3]: Time 122.609763 seconds, bootstrap likelihood -128350.363351, best rearrangement setting 15
Bootstrap[4]: Time 100.692398 seconds, bootstrap likelihood -124753.841396, best rearrangement setting 10
Bootstrap[5]: Time 91.378524 seconds, bootstrap likelihood -133134.988710, best rearrangement setting 10
Bootstrap[6]: Time 57.805957 seconds, bootstrap likelihood -134621.395560, best rearrangement setting 6
Bootstrap[7]: Time 108.223217 seconds, bootstrap likelihood -138800.314648, best rearrangement setting 14
Bootstrap[8]: Time 48.125090 seconds, bootstrap likelihood -120267.377453, best rearrangement setting 5
Bootstrap[9]: Time 65.044602 seconds, bootstrap likelihood -132371.023346, best rearrangement setting 7
Bootstrap[10]: Time 68.139044 seconds, bootstrap likelihood -128164.601903, best rearrangement setting 7
Bootstrap[11]: Time 45.843978 seconds, bootstrap likelihood -120389.164606, best rearrangement setting 5
Bootstrap[12]: Time 76.004612 seconds, bootstrap likelihood -137222.528005, best rearrangement setting 8
Bootstrap[13]: Time 64.635640 seconds, bootstrap likelihood -130885.840465, best rearrangement setting 7
Bootstrap[14]: Time 100.780267 seconds, bootstrap likelihood -114850.393451, best rearrangement setting 12
Bootstrap[15]: Time 125.355020 seconds, bootstrap likelihood -151636.675944, best rearrangement setting 15
