

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 787 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 74.55%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 200 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 787
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980310/inputs/dataset_262704a0-35ad-4f02-881a-bdd3196daf1c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 200 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.028737
Bootstrap[0]: Time 104.851435 seconds, bootstrap likelihood -139348.170638, best rearrangement setting 13
Bootstrap[1]: Time 102.755855 seconds, bootstrap likelihood -143283.688489, best rearrangement setting 13
Bootstrap[2]: Time 96.694974 seconds, bootstrap likelihood -138762.502162, best rearrangement setting 12
Bootstrap[3]: Time 119.220359 seconds, bootstrap likelihood -136644.689687, best rearrangement setting 15
Bootstrap[4]: Time 87.167023 seconds, bootstrap likelihood -136638.674188, best rearrangement setting 10
Bootstrap[5]: Time 79.508513 seconds, bootstrap likelihood -136039.824639, best rearrangement setting 10
Bootstrap[6]: Time 53.533926 seconds, bootstrap likelihood -125323.503153, best rearrangement setting 6
Bootstrap[7]: Time 120.690542 seconds, bootstrap likelihood -145773.647248, best rearrangement setting 14
Bootstrap[8]: Time 41.091989 seconds, bootstrap likelihood -138154.774390, best rearrangement setting 5
Bootstrap[9]: Time 61.067045 seconds, bootstrap likelihood -142139.234112, best rearrangement setting 7
Bootstrap[10]: Time 64.996913 seconds, bootstrap likelihood -130579.446528, best rearrangement setting 7
Bootstrap[11]: Time 43.292415 seconds, bootstrap likelihood -132618.464521, best rearrangement setting 5
Bootstrap[12]: Time 66.929088 seconds, bootstrap likelihood -133521.266755, best rearrangement setting 8
Bootstrap[13]: Time 63.340113 seconds, bootstrap likelihood -136537.434299, best rearrangement setting 7
Bootstrap[14]: Time 98.430507 seconds, bootstrap likelihood -135737.964329, best rearrangement setting 12
Bootstrap[15]: Time 110.438353 seconds, bootstrap likelihood -133872.400891, best rearrangement setting 15
Bootstrap[16]: Time 103.987823 seconds, bootstrap likelihood -126397.948253, best rearrangement setting 12
Bootstrap[17]: Time 111.903536 seconds, bootstrap likelihood -149031.972795, best rearrangement setting 12
Bootstrap[18]: Time 48.662834 seconds, bootstrap likelihood -138245.918394, best rearrangement setting 5
Bootstrap[19]: Time 69.563740 seconds, bootstrap likelihood -131186.346227, best rearrangement setting 8
Bootstrap[20]: Time 88.398933 seconds, bootstrap likelihood -133506.491395, best rearrangement setting 10
Bootstrap[21]: Time 57.004388 seconds, bootstrap likelihood -138659.038529, best rearrangement setting 6
Bootstrap[22]: Time 45.997224 seconds, bootstrap likelihood -135573.454358, best rearrangement setting 5
Bootstrap[23]: Time 65.254980 seconds, bootstrap likelihood -143674.284151, best rearrangement setting 7
Bootstrap[24]: Time 76.785679 seconds, bootstrap likelihood -127904.131700, best rearrangement setting 8
Bootstrap[25]: Time 56.689918 seconds, bootstrap likelihood -149056.918517, best rearrangement setting 6
Bootstrap[26]: Time 104.775206 seconds, bootstrap likelihood -134644.956031, best rearrangement setting 12
Bootstrap[27]: Time 88.451364 seconds, bootstrap likelihood -147180.429197, best rearrangement setting 10
Bootstrap[28]: Time 101.963958 seconds, bootstrap likelihood -140788.854866, best rearrangement setting 11
Bootstrap[29]: Time 111.749653 seconds, bootstrap likelihood -128030.911857, best rearrangement setting 12
Bootstrap[30]: Time 113.816776 seconds, bootstrap likelihood -136062.648280, best rearrangement setting 15
Bootstrap[31]: Time 121.101045 seconds, bootstrap likelihood -134527.452529, best rearrangement setting 15
Bootstrap[32]: Time 55.797552 seconds, bootstrap likelihood -139392.069480, best rearrangement setting 6
Bootstrap[33]: Time 131.853254 seconds, bootstrap likelihood -150908.533180, best rearrangement setting 15
Bootstrap[34]: Time 97.892961 seconds, bootstrap likelihood -132753.225631, best rearrangement setting 11
Bootstrap[35]: Time 69.606116 seconds, bootstrap likelihood -132889.399026, best rearrangement setting 8
Bootstrap[36]: Time 81.136806 seconds, bootstrap likelihood -128643.465084, best rearrangement setting 9
Bootstrap[37]: Time 101.971775 seconds, bootstrap likelihood -139646.764446, best rearrangement setting 11
Bootstrap[38]: Time 66.646184 seconds, bootstrap likelihood -136848.559029, best rearrangement setting 8
