

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 721 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 73.98%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 200 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 721
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980314/inputs/dataset_8c8cb86e-5e9e-4579-aeb1-285e82431c26.dat -n galaxy -m PROTGAMMALG -p 12345 -N 200 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 1.984107
Bootstrap[0]: Time 121.922748 seconds, bootstrap likelihood -139755.213696, best rearrangement setting 13
Bootstrap[1]: Time 113.717293 seconds, bootstrap likelihood -141687.261621, best rearrangement setting 13
Bootstrap[2]: Time 97.656322 seconds, bootstrap likelihood -125605.215459, best rearrangement setting 12
Bootstrap[3]: Time 118.769553 seconds, bootstrap likelihood -141665.072623, best rearrangement setting 15
Bootstrap[4]: Time 90.011233 seconds, bootstrap likelihood -138868.955960, best rearrangement setting 10
Bootstrap[5]: Time 92.554559 seconds, bootstrap likelihood -126814.186005, best rearrangement setting 10
Bootstrap[6]: Time 54.152640 seconds, bootstrap likelihood -133113.411916, best rearrangement setting 6
Bootstrap[7]: Time 121.103532 seconds, bootstrap likelihood -130093.545667, best rearrangement setting 14
Bootstrap[8]: Time 44.803181 seconds, bootstrap likelihood -139518.820195, best rearrangement setting 5
Bootstrap[9]: Time 61.220487 seconds, bootstrap likelihood -119225.902919, best rearrangement setting 7
Bootstrap[10]: Time 67.687483 seconds, bootstrap likelihood -135758.679620, best rearrangement setting 7
Bootstrap[11]: Time 47.801631 seconds, bootstrap likelihood -127889.774053, best rearrangement setting 5
Bootstrap[12]: Time 72.281028 seconds, bootstrap likelihood -125639.575530, best rearrangement setting 8
Bootstrap[13]: Time 67.192970 seconds, bootstrap likelihood -116631.535322, best rearrangement setting 7
Bootstrap[14]: Time 99.329570 seconds, bootstrap likelihood -136672.399262, best rearrangement setting 12
