group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A011MFN1	unreviewed	Putative pit accessory protein	1454001	Candidatus	Accumulibacter	adjunctus	211
PitR	A0A011MH92	unreviewed	TIGR00153 family protein	85402	Mannheimia	granulomatis	NA	226
PitR	A0A011NUD0	unreviewed	Phosphate transport regulator	522306	Accumulibacter	regalis	NA	224
PitR	A0A011UB90	unreviewed	Nuclease PIN	69279	Aquamicrobium	defluvii	NA	213
PitR	A0A021VT58	unreviewed	Phosphate transport regulator	948458	Actinotalea	ferrariae	CF5-4	206
PitR	A0A023WSF1	unreviewed	Phosphate transport regulator	316	Stutzerimonas	stutzeri	NA	225
PitR	A0A031GSJ6	unreviewed	DUF47 domain-containing protein	29581	Janthinobacterium	lividum	NA	208
PitR	A0A031IDC3	unreviewed	Putative pit accessory protein	1470592	Exiguobacterium	sp.	RIT341	205
PitR	A0A031MIU3	unreviewed	TIGR00153 family protein	653930	Halopseudomonas	bauzanensis	NA	225
PitR	A0A059G145	unreviewed	Phosphate transport regulator-like protein	1280953	Hyphomonas	oceanitis	SCH89	256
PitR	A0A059MZE5	unreviewed	TIGR00153 family protein	1338519	Enterococcus	faecalis	918	207
PitR	A0A060DUA6	unreviewed	DUF47 domain-containing protein	2970906	Azospirillum	argentinense	NA	217
PitR	A0A060HGD1	unreviewed	Putative phosphate transport regulator	926571	Nitrososphaera	viennensis	EN76	217
PitR	A0A060P004	unreviewed	Phosphate transport regulator	1458426	Serpentinimonas	maccroryi	NA	675
PitR	A0A062XQA1	unreviewed	DUF47 domain-containing protein	1312852	Thermoanaerobaculum	aquaticum	NA	207
PitR	A0A063C966	unreviewed	Pit accessory protein	1396	Bacillus	cereus	NA	206
PitR	A0A063KN92	unreviewed	TIGR00153 family protein	1872678	Pseudoalteromonas	fuliginea	NA	225
PitR	A0A063Y4N4	unreviewed	Phosphate transport regulator	267850	Nitrincola	lacisaponensis	NA	226
PitR	A0A066UDN1	unreviewed	Phosphate transport regulator	287986	Amycolatopsis	rifamycinica	NA	204
PitR	A0A068NPN0	unreviewed	Phosphate transport regulator	661478	Fimbriimonas	ginsengisoli	Gsoil 348	208
PitR	A0A069RI35	unreviewed	TIGR00153 family protein	1121324	Peptoclostridium	litorale	DSM 5388	217
PitR	A0A069ZQH0	unreviewed	Phosphate transport regulator	83560	Chlamydia	muridarum	NA	224
PitR	A0A075FWV2	unreviewed	Phosphate uptake regulator	1455933	uncultured	marine	thaumarchaeote AD1000_70_C10	209
PitR	A0A075KA73	unreviewed	Putative phosphate transport regulator	484770	Pelosinus	sp.	UFO1	208
PitR	A0A075LPB4	unreviewed	TIGR00153 family protein	1343739	Palaeococcus	pacificus	DY20341	215
PitR	A0A075R4Y4	unreviewed	Putative pit accessory protein	1042163	Brevibacillus	laterosporus	LMG 15441	206
PitR	A0A075RL67	unreviewed	DUF47 family protein	96345	Flavobacterium	psychrophilum	NA	217
PitR	A0A075WGL5	unreviewed	TIGR00153 family protein	1344584	Archaeoglobus	fulgidus	DSM 8774	211
PitR	A0A075WXR2	unreviewed	TIGR00153 family protein	289377	Thermodesulfobacterium	commune	DSM 2178	218
PitR	A0A076IM56	unreviewed	DUF47 family protein	357276	Phocaeicola	dorei	NA	215
PitR	A0A077MG36	unreviewed	Putative Pit accessory protein	1193518	Nostocoides	jenkinsii	Ben 74	207
PitR	A0A078KR51	unreviewed	Putative phosphate transport regulator	29343	[Clostridium]	cellulosi	NA	207
PitR	A0A078LYM5	unreviewed	Phosphate transport regulator	1499686	Pseudomonas	saudiphocaensis	NA	261
