group	Accession	Source Database	Name	Tax ID	Genus	Species	Other	Length
PitR	A0A7W7S6L9	unreviewed	DUF47 domain-containing protein	47479	Streptosporangium	album	NA	210
PitR	A0A1M3BEH8	unreviewed	Phosphate transport regulator	1895742	Chlamydia	sp.	32-24	208
PitR	A0A1G0H8M8	unreviewed	Phosphate transport regulator	1798283	Gammaproteobacteria	bacterium	RIFCSPHIGHO2_12_FULL_41_20	208
PitR	A0A962PR37	unreviewed	TIGR00153 family protein	1891229	Pseudomonadales	bacterium	NA	169
PitR	A0A1A9NHU8	unreviewed	Phosphate transport regulator	1848039	Methylobacillus	sp.	MM3	213
PitR	A0A1G0AKL0	unreviewed	Phosphate transport regulator	1797984	Euryarchaeota	archaeon	RBG_19FT_COMBO_69_17	209
PitR	A0A1Q6Z2Y5	unreviewed	Phosphate transport regulator	1805233	Ktedonobacter	sp.	13_2_20CM_53_11	212
PitR	A0A523AP32	unreviewed	DUF47 domain-containing protein	2250530	Archaeoglobi	archaeon	NA	201
PitR	A0A524DCQ0	unreviewed	DUF47 family protein	2053489	Promethearchaeota	archaeon	NA	213
PitR	A0A1M3K9B2	unreviewed	Phosphate transport regulator	1895927	Chloroflexi	bacterium	44-23	206
PitR	U7UUS6	unreviewed	PF01865 family protein	1111134	Peptoniphilus	sp.	BV3C26	206
PitR	A0A0S7XX72	unreviewed	Phosphate transport regulator	1703361	Syntrophobacter	sp.	DG_60	221
PitR	A0A497CZX2	unreviewed	DUF47 family protein	1898104	Bacteroidota	bacterium	NA	272
PitR	A0A5C9EEK6	unreviewed	DUF47 family protein	2053489	Promethearchaeota	archaeon	NA	209
PitR	A0A135VP76	unreviewed	PhoU domain-containing protein	1706444	Candidatus	Thorarchaeota	archaeon SMTZ1-45	220
PitR	A0A4R6RAD1	unreviewed	Phosphate transport regulator	70586	Aquabacterium	commune	NA	227
PitR	A0A524CQ89	unreviewed	DUF47 family protein	2053489	Promethearchaeota	archaeon	NA	186
PitR	A0A7V2PSM5	unreviewed	DUF47 family protein	2052143	Anaerolineae	bacterium	NA	214
PitR	A0A7W1GKE9	unreviewed	DUF47 domain-containing protein	1883427	Actinomycetes	bacterium	NA	204
